Domain,Score,Orientation,Occorrenze,Views,Forwards
expose-news.com,7.5,,6103,15357060,284906
justthenews.com,69.5,Right,5911,20999892,169071
washingtonpost.com,100.0,,5871,13271919,87721
newarab.com,87.5,,5645,911809,8650
bild.de,87.5,,5610,31722390,469208
usatoday.com,100.0,,5549,9230387,70800
naturalnews.com,5.0,Right,5353,13931293,86048
nationalreview.com,92.5,Right,5251,1227226,13543
thehill.com,100.0,,5211,15942946,132959
uncutnews.ch,7.5,Right,5206,30367031,378950
mirror.co.uk,87.5,Left,5201,8812349,97965
wsj.com,100.0,,5027,16284340,141873
newsweek.com,100.0,,4906,17228786,238938
gbnews.com,64.5,,4516,4710154,45170
southfront.press,20.0,,4449,12885132,20945
w-j.co,82.0,Right,4357,17374356,50529
rsbnetwork.com,10.0,Right,4165,25361524,104764
creativedestructionmedia.com,20.0,Right,4090,17156414,118489
halturnerradioshow.com,25.0,Right,3767,4746614,119653
haaretz.com,92.5,Left,3747,7641671,60590
berliner-zeitung.de,100.0,,3741,29194454,445357
modernity.news,7.5,Right,3689,16876796,119303
lawenforcementtoday.com,82.0,Right,3643,7952772,76977
axios.com,100.0,,3591,10432900,82559
jpost.com,92.5,,3555,8660123,72376
childrenshealthdefense.org,17.5,,3506,7536242,129461
cbc.ca,92.5,,3502,2304273,20360
finance.yahoo.com,100.0,,3379,11123668,130132
washingtontimes.com,62.0,,3352,11135145,81241
cnbc.com,95.0,,3249,14610921,335023
resistthemainstream.com,37.0,Right,3157,5479622,18669
skynews.com.au,74.5,,3154,6515350,66834
slaynews.com,0.0,Right,3152,7307159,194245
humanevents.com,69.5,Right,3135,21536594,89666
analyzingamerica.org,77.0,,3122,10982672,15368
judicialwatch.org,57.0,Right,3054,5009383,35265
tass.com,7.5,,3043,2516055,48202
politico.eu,100.0,,3043,17139052,108126
timesofisrael.com,100.0,,3013,6685210,48592
dailywire.com,57.0,Right,2977,4368700,33333
edition.cnn.com,80.0,,2948,11866391,62573
nature.com,100.0,,2946,3905962,99462
thepeoplesvoice.tv,0.0,,2938,14863561,407307
wltreport.com,0.0,Right,2924,1761875,9191
bitcoinist.com,49.5,,2920,589851,2039
apollo-news.net,87.5,Right,2913,16713237,233650
westernjournal.com,82.0,Right,2908,2208600,14711
arizonasuntimes.com,47.5,Right,2839,909173,8437
forbes.com,92.5,,2752,3731426,43163
legitim.ch,25.0,Right,2747,17243855,461589
focus.de,100.0,,2709,11226692,150027
dailycaller.com,82.0,Right,2683,6019185,45008
freebeacon.com,72.5,Right,2645,2192459,18928
thesun.co.uk,69.5,Right,2630,3824940,36052
ktar.com,95.0,,2543,839962,9110
standard.co.uk,87.5,Right,2484,2488957,20478
npr.org,100.0,,2426,2809524,34730
freedert.online,20.0,,2401,7959828,105752
breakingreports.org,82.0,Right,2345,14245720,18305
mylondon.news,100.0,,2316,708948,4010
indiewire.com,100.0,,2216,411845,3243
news.yahoo.com,100.0,,2112,3654284,34287
breaking911.com,52.0,,2083,7493469,37126
ft.com,100.0,,2071,5267625,25568
californiaglobe.com,27.5,Right,2048,96485,966
denverpost.com,100.0,,2036,1098463,6969
businessinsider.com,100.0,,2036,4974113,59206
