Id,Label,type,degree,closnesscentrality,betweenesscentrality,Authority,eigencentrality
5918819777,,User,1,0.318441,0,0.00258,0.005613
7076883447,,User,3,0.316209,0,0.002127,0.005052
1412884511,,User,1,0.297601,0,0.001126,0.002042
1568835470,,User,1,0.297601,0,0.001126,0.002042
1529173423,,User,1,0.321701,0,0.003096,0.006674
1642253405,,User,1,0.318441,0,0.00258,0.005613
8009011544,,User,1,0.318441,0,0.00258,0.005613
985103795,,User,1,0.318441,0,0.00258,0.005613
1597923384,,User,2,0.29323,0,0.000651,0.001744
1850491306,,User,2,0.275817,0,0.000385,0.001217
746505765,,User,1,0.308415,0,0.00103,0.002161
729308420,,User,2,0.323491,0,0.003302,0.007849
374686698,,User,2,0.318467,0,0.002201,0.005395
1555218743,,User,1,0.318441,0,0.00258,0.005613
1894042407,,User,1,0.309532,0,0.00144,0.004159
7468379793,,User,1,0.309532,0,0.00144,0.004159
6866726474,,User,2,0.316292,0,0.00247,0.00632
1523922117,,User,1,0.308415,0,0.00103,0.002161
1474010078,,User,2,0.32492,0,0.004347,0.009703
7738636738,,User,1,0.311958,0,0.001426,0.003394
6152053448,,User,1,0.311958,0,0.001426,0.003394
8002362082,,User,1,0.302756,0,0.001211,0.002411
1622908027,,User,2,0.303278,0,0.00214,0.004434
1403086123,,User,3,0.326733,0,0.00756,0.014032
7723128540,,User,1,0.295963,0,0.000889,0.001406
828182479,,User,1,0.318441,0,0.00258,0.005613
5305102106,,User,1,0.318441,0,0.00258,0.005613
5931700081,,User,1,0.318441,0,0.00258,0.005613
7003188519,,User,1,0.277436,0,0.000365,0.000746
6424607594,,User,1,0.308415,0,0.00103,0.002161
1955151690,,User,1,0.318441,0,0.00258,0.005613
1532404885,,User,1,0.318441,0,0.00258,0.005613
6764528349,,User,2,0.322345,0,0.003997,0.008602
1529598527,,User,1,0.297601,0,0.001126,0.002042
1515826057,,User,1,0.297601,0,0.001126,0.002042
1169889682,,User,1,0.311958,0,0.001426,0.003394
1287322738,,User,1,0.311958,0,0.001426,0.003394
1420721947,,User,1,0.252611,0,0.000165,0.000325
1545348965,,User,1,0.252611,0,0.000165,0.000325
1574252598,,User,1,0.252611,0,0.000165,0.000325
1436890533,,User,3,0.329275,0,0.007848,0.014485
1519235293,,User,2,0.307493,0,0.001359,0.003476
1061348379,,User,2,0.277977,0,0.000391,0.001193
1967077860,,User,1,0.274695,0,0.000296,0.000913
6410430965,,User,2,0.32103,0,0.003266,0.007403
1689621157,,User,4,0.314699,0,0.004262,0.00787
1679138375,,User,2,0.311558,0,0.002158,0.003875
1526169281,,User,2,0.320138,0,0.003162,0.008436
6729441881,,User,1,0.298828,0,0.000697,0.002268
5211293076,,User,2,0.327857,0,0.004853,0.011301
7990576854,,User,1,0.309532,0,0.00144,0.004159
6419712198,,User,3,0.313807,0,0.002858,0.007069
7119321002,,User,1,0.301026,0,0.001034,0.001733
5338139487,,User,3,0.330354,0,0.00671,0.014021
5749255775,,User,1,0.318441,0,0.00258,0.005613
6904630951,,User,1,0.318441,0,0.00258,0.005613
7908467825,,User,1,0.318441,0,0.00258,0.005613
2049173728,,User,1,0.308694,0,0.001417,0.002989
7839468796,,User,1,0.309532,0,0.00144,0.004159
7324002215,,User,1,0.318441,0,0.00258,0.005613
6890877066,,User,1,0.268381,0,0.000385,0.00089
1561299726,,User,2,0.322071,0,0.005997,0.011474
6340970300,,User,1,0.293095,0,0.000697,0.001212
1524663599,,User,6,0.335439,0,0.009422,0.019616
5128992226,,User,1,0.321701,0,0.003096,0.006674
1536795430,,User,1,0.318441,0,0.00258,0.005613
1763471576,,User,2,0.327783,0,0.007104,0.014285
1455607518,,User,2,0.32677,0,0.003698,0.009081
5460485187,,User,1,0.308415,0,0.00103,0.002161
1991072980,,User,2,0.299353,0,0.000792,0.002622
6838265516,,User,2,0.29976,0,0.001074,0.002948
5006335816,,User,1,0.321701,0,0.003096,0.006674
1497100390,,User,1,0.321701,0,0.003096,0.006674
6881392156,,User,3,0.313558,0,0.00285,0.006885
8182310648,,User,1,0.309532,0,0.00144,0.004159
1600230117,,User,2,0.320708,0,0.003645,0.007652
7370563274,,User,1,0.318441,0,0.00258,0.005613
1367372854,,User,3,0.316941,0,0.002864,0.006271
6107853241,,User,1,0.311958,0,0.001426,0.003394
429429760,,User,2,0.319107,0,0.003056,0.006378
6079536864,,User,1,0.318441,0,0.00258,0.005613
1501852913,,User,1,0.301026,0,0.001034,0.001733
7387542140,,User,1,0.301026,0,0.001034,0.001733
1518941227,,User,1,0.318441,0,0.00258,0.005613
1608543820,,User,2,0.316258,0,0.002443,0.005474
6875446468,,User,1,0.311958,0,0.001426,0.003394
6769915531,,User,1,0.309532,0,0.00144,0.004159
619759259,,User,1,0.230505,0,0.000009,0.000257
1372019091,,User,1,0.230505,0,0.000009,0.000257
6272483465,,User,1,0.300151,0,0.000938,0.001705
1582446969,,User,1,0.300151,0,0.000938,0.001705
1539779809,,User,1,0.318441,0,0.00258,0.005613
8092206695,,User,1,0.318441,0,0.00258,0.005613
974977284,,User,1,0.301026,0,0.001034,0.001733
1524220884,,User,1,0.318441,0,0.00258,0.005613
1149583740,,User,1,0.318441,0,0.00258,0.005613
1466852842,,User,4,0.310929,0,0.001583,0.003382
SETexasProudBoys,,Channel,4,0.310929,0,0.001583,0.003382
1539705566,,User,1,0.318441,0,0.00258,0.005613
7292005967,,User,1,0.318441,0,0.00258,0.005613
1427435528,,User,4,0.344311,0,0.012772,0.026168
1589299740,,User,1,0.301008,0,0.000837,0.002479
5629309718,,User,1,0.319953,0,0.002272,0.005688
1515085523,,User,2,0.327783,0,0.007104,0.014285
7389724057,,User,1,0.296712,0,0.000916,0.001514
2077661296,,User,1,0.311958,0,0.001426,0.003394
1444620298,,User,1,0.311958,0,0.001426,0.003394
1337904592,,User,1,0.318441,0,0.00258,0.005613
7331580833,,User,1,0.301008,0,0.000837,0.002479
7522084106,,User,3,0.326059,0,0.003741,0.008832
7887960662,,User,1,0.318441,0,0.00258,0.005613
1862972830,,User,2,0.327783,0,0.004536,0.010834
6509604133,,User,3,0.314758,0,0.001602,0.003933
5869273654,,User,1,0.318441,0,0.00258,0.005613
7464032119,,User,2,0.32568,0,0.004006,0.009007
7943651422,,User,1,0.318441,0,0.00258,0.005613
7883168393,,User,1,0.268381,0,0.000385,0.00089
1692497798,,User,1,0.309532,0,0.00144,0.004159
920443576,,User,1,0.309532,0,0.00144,0.004159
927206943,,User,3,0.327326,0,0.004813,0.01202
6606615171,,User,1,0.311958,0,0.001426,0.003394
1420209437,,User,1,0.311958,0,0.001426,0.003394
6984219041,,User,1,0.311958,0,0.001426,0.003394
8098418087,,User,1,0.318441,0,0.00258,0.005613
5508736666,,User,3,0.328824,0,0.005846,0.013016
1530151457,,User,1,0.318441,0,0.00258,0.005613
1646349092,,User,1,0.318441,0,0.00258,0.005613
1454969092,,User,1,0.318441,0,0.00258,0.005613
1593256359,,User,1,0.318441,0,0.00258,0.005613
276291594,,User,1,0.308415,0,0.00103,0.002161
1500813747,,User,3,0.323373,0,0.003943,0.008555
1274969836,,User,1,0.271299,0,0.0004,0.000675
1590107979,,User,1,0.300151,0,0.000938,0.001705
1623442607,,User,1,0.293095,0,0.000697,0.001212
1776712124,,User,1,0.311958,0,0.001426,0.003394
6633593615,,User,1,0.311958,0,0.001426,0.003394
1915120893,,User,1,0.311958,0,0.001426,0.003394
1599220012,,User,2,0.308614,0,0.002227,0.004215
922016692,,User,2,0.270936,0,0.000381,0.000934
5080340140,,User,1,0.220211,0,0.000008,0.000357
1587896281,,User,1,0.318441,0,0.00258,0.005613
7378486825,,User,1,0.318441,0,0.00258,0.005613
1560813123,,User,1,0.309532,0,0.00144,0.004159
5917576257,,User,1,0.318441,0,0.00258,0.005613
1649157024,,User,1,0.318441,0,0.00258,0.005613
6266778555,,User,1,0.309532,0,0.00144,0.004159
7888144290,,User,1,0.309532,0,0.00144,0.004159
842050105,,User,1,0.309532,0,0.00144,0.004159
1623693379,,User,1,0.309532,0,0.00144,0.004159
7163487555,,User,1,0.311958,0,0.001426,0.003394
1501320431,,User,1,0.311958,0,0.001426,0.003394
1224223808,,User,1,0.308415,0,0.00103,0.002161
7994680496,,User,1,0.298828,0,0.000697,0.002268
1417288835,,User,2,0.299693,0,0.000817,0.002668
7804290076,,User,1,0.296712,0,0.000916,0.001514
1543055492,,User,1,0.296712,0,0.000916,0.001514
6739942362,,User,1,0.302046,0,0.001103,0.001987
7152370023,,User,1,0.302046,0,0.001103,0.001987
1751864184,,User,1,0.302046,0,0.001103,0.001987
1555607990,,User,1,0.318441,0,0.00258,0.005613
5694379112,,User,1,0.318441,0,0.00258,0.005613
5083960240,,User,1,0.311958,0,0.001426,0.003394
1580835742,,User,2,0.327909,0,0.004522,0.010068
1527857804,,User,1,0.318441,0,0.00258,0.005613
2116315303,,User,2,0.327462,0,0.003751,0.008847
1115559335,,User,1,0.319953,0,0.002272,0.005688
1537172330,,User,1,0.308415,0,0.00103,0.002161
1387514319,,User,2,0.327783,0,0.007104,0.014285
7696405650,,User,1,0.311958,0,0.001426,0.003394
6224083630,,User,1,0.318441,0,0.00258,0.005613
1609168137,,User,3,0.341787,0,0.011355,0.023179
