source,target,type
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1644618945,QNewsOfficialTV,Reply
1471277764,Not_On_The_Beeb,Reply
1471277764,thevoiduk,Reply
1471277764,thevoiduk,Reply
1471277764,thevoiduk,Reply
1471277764,thevoiduk,Reply
1471277764,Not_On_The_Beeb,Reply
1471277764,thevoiduk,Reply
1471277764,thevoiduk,Reply
1801862620,Not_On_The_Beeb,Reply
1484178067,pjwnews,Reply
1363426486,pjwnews,Reply
1363426486,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
856961339,pjwnews,Reply
1542743642,QNewsOfficialTV,Reply
1469089713,pjwnews,Reply
1469089713,pjwnews,Reply
1469089713,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
5758991347,pjwnews,Reply
1296593526,pjwnews,Reply
1296593526,pjwnews,Reply
1296593526,pjwnews,Reply
1492375060,PepeMatter,Reply
1492375060,PepeMatter,Reply
2022576228,PepeMatter,Reply
2022576228,PepeMatter,Reply
1610980448,PepeMatter,Reply
1610980448,PepeMatter,Reply
1216408745,dotconnectinganons,Reply
1216408745,dotconnectinganons,Reply
5182076112,piratejohn1,Reply
5182076112,piratejohn1,Reply
423748103,piratejohn1,Reply
423748103,piratejohn1,Reply
1467651294,piratejohn1,Reply
1467651294,piratejohn1,Reply
1306909885,zhivoff22,Reply
320433676,zhivoff22,Reply
162722569,zhivoff22,Reply
1708780087,AmericasAuditForce,Reply
1708780087,AmericasAuditForce,Reply
1708780087,AmericasAuditForce,Reply
1708780087,AmericasAuditForce,Reply
1708780087,AmericasAuditForce,Reply
1674949216,theprofessorsrecord,Reply
1586403403,theprofessorsrecord,Reply
1574586622,theprofessorsrecord,Reply
1574586622,theprofessorsrecord,Reply
5186575792,RedPillDealer4833,Reply
5186575792,RedPillDealer4833,Reply
1297412776,piratejohn1,Reply
1297412776,piratejohn1,Reply
7176451820,piratejohn1,Reply
7176451820,piratejohn1,Reply
7176451820,piratejohn1,Reply
1549893656,realKarliBonne,Reply
1549893656,realKarliBonne,Reply
1549893656,realKarliBonne,Reply
1549893656,realKarliBonne,Reply
1549893656,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1564576848,realKarliBonne,Reply
1638759519,realKarliBonne,Reply
1638759519,TruthHammer,Reply
1638759519,TruthHammer,Reply
1638759519,TruthHammer,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1055255703,PatriotArmy,Reply
1525068077,Fighting4_AZ,Reply
1525068077,Fighting4_AZ,Reply
1525068077,Fighting4_AZ,Reply
1525068077,Fighting4_AZ,Reply
1525068077,Fighting4_AZ,Reply
5143044566,dotconnectinganons,Reply
1688867178,thepeoplesaudit,Reply
1688867178,thepeoplesaudit,Reply
1688867178,thepeoplesaudit,Reply
1465439260,Not_On_The_Beeb,Reply
1465439260,Not_On_The_Beeb,Reply
1465439260,Not_On_The_Beeb,Reply
1465439260,Not_On_The_Beeb,Reply
1535115350,Not_On_The_Beeb,Reply
1535115350,Not_On_The_Beeb,Reply
1535115350,Not_On_The_Beeb,Reply
1535115350,Not_On_The_Beeb,Reply
1535115350,Not_On_The_Beeb,Reply
1458560680,Not_On_The_Beeb,Reply
1458560680,Not_On_The_Beeb,Reply
1458560680,Not_On_The_Beeb,Reply
1458560680,Not_On_The_Beeb,Reply
1264584202,ArrestsIndictmentsJustice,Reply
1889966626,ArrestsIndictmentsJustice,Reply
6477217467,piratejohn1,Reply
6477217467,piratejohn1,Reply
6477217467,piratejohn1,Reply
6477217467,piratejohn1,Reply
1239576276,veryreasonable,Reply
1239576276,veryreasonable,Reply
1239576276,veryreasonable,Reply
1239576276,veryreasonable,Reply
1239576276,veryreasonable,Reply
5046475080,veryreasonable,Reply
1513572722,veryreasonable,Reply
1629363077,BannonWarRoom,Reply
1477482893,BannonWarRoom,Reply
1477482893,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
828986739,BannonWarRoom,Reply
5598870331,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
1559037789,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
2113889473,NTDNews,Reply
5224305337,DoctorQsBoomBox,Reply
1572005621,joeoltmann,Reply
1572005621,joeoltmann,Reply
1572005621,joeoltmann,Reply
1572005621,joeoltmann,Reply
1572005621,joeoltmann,Reply
1746957931,joeoltmann,Reply
1746957931,lifesitetelegram,Reply
1746957931,lifesitetelegram,Reply
1746957931,lifesitetelegram,Reply
1746957931,joeoltmann,Reply
1746957931,lifesitetelegram,Reply
1746957931,joeoltmann,Reply
1746957931,joeoltmann,Reply
1746957931,lifesitetelegram,Reply
1746957931,joeoltmann,Reply
1512290990,joeoltmann,Reply
1512290990,joeoltmann,Reply
1512290990,joeoltmann,Reply
1512290990,joeoltmann,Reply
1512290990,joeoltmann,Reply
6362500932,Not_On_The_Beeb,Reply
6362500932,Not_On_The_Beeb,Reply
1304321669,Not_On_The_Beeb,Reply
1304321669,Not_On_The_Beeb,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
5041926193,BannonWarRoom,Reply
6795964908,BannonWarRoom,Reply
1447174802,pjwnews,Reply
1447174802,infowarslive,Reply
1447174802,infowarslive,Reply
1447174802,infowarslive,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1899667896,pjwnews,Reply
1589921462,pjwnews,Reply
1589921462,pjwnews,Reply
1589921462,pjwnews,Reply
1593470187,dotconnectinganons,Reply
1593470187,dotconnectinganons,Reply
1593470187,dotconnectinganons,Reply
1593470187,dotconnectinganons,Reply
5160496038,dotconnectinganons,Reply
1613223815,dotconnectinganons,Reply
1979819747,candlesinthenight,Reply
2035921711,candlesinthenight,Reply
609517172,candlesinthenight,Reply
609517172,dotconnectinganons,Reply
609517172,blacklistedresearch,Reply
609517172,NevsChannel,Reply
609517172,Qrashthematrix,Reply
609517172,blacklistedresearch,Reply
609517172,candlesinthenight,Reply
609517172,ConsciousM8rix,Reply
609517172,FuryRoad_Intel,Reply
609517172,NevsChannel,Reply
609517172,dotconnectinganons,Reply
609517172,dotconnectinganons,Reply
609517172,Jack_Posobiec,Reply
609517172,NevsChannel,Reply
609517172,blacklistedresearch,Reply
609517172,NevsChannel,Reply
609517172,dotconnectinganons,Reply
609517172,NevsChannel,Reply
609517172,dotconnectinganons,Reply
609517172,NevsChannel,Reply
609517172,NTDNews,Reply
1548355423,TruthHammer,Reply
1548355423,Vigilant_News,Reply
1548355423,TruthHammer,Reply
1548355423,Vigilant_News,Reply
1847777547,TruthHammer,Reply
1847777547,TruthHammer,Reply
1503375553,TruthHammer,Reply
1503375553,realKarliBonne,Reply
1503375553,realKarliBonne,Reply
1503375553,TruthHammer,Reply
1503375553,realKarliBonne,Reply
1546519452,Brandenburg4MI,Reply
1567469894,Brandenburg4MI,Reply
1567469894,Brandenburg4MI,Reply
1567469894,Brandenburg4MI,Reply
1567469894,Brandenburg4MI,Reply
1567469894,Brandenburg4MI,Reply
7156273621,NewMexicoAuditForce,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
161163358,whatskraken21,Reply
1542357556,GAelectionaudit,Reply
1500072117,realKarliBonne,Reply
1739342209,realKarliBonne,Reply
1739342209,realKarliBonne,Reply
1739342209,realKarliBonne,Reply
1436484654,realKarliBonne,Reply
1214624335,pjwnews,Reply
1214624335,NTDNews,Reply
1214624335,NTDNews,Reply
1214624335,pjwnews,Reply
1214624335,NTDNews,Reply
1214624335,NTDNews,Reply
1214624335,pjwnews,Reply
1214624335,NTDNews,Reply
1214624335,NTDNews,Reply
1214624335,pjwnews,Reply
975463121,pjwnews,Reply
975463121,pjwnews,Reply
975463121,pjwnews,Reply
975463121,infowarslive,Reply
975463121,pjwnews,Reply
975463121,pjwnews,Reply
975463121,infowarslive,Reply
975463121,infowarslive,Reply
